# target|version|size|url|name
Heltec_ct62_repeater_bridge_tcp|bridge-tcp-v1.0.7|1394624|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/Heltec_ct62_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|Heltec_ct62_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
Heltec_E213_companion_radio_ble|companion-v1.0.2|1258592|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_E213_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|Heltec_E213_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
Heltec_E213_companion_radio_usb|companion-v1.0.2|649440|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/Heltec_E213_companion_radio_usb-nl-v1.0.2-bff9ec9.bin|Heltec_E213_companion_radio_usb-nl-v1.0.2-bff9ec9.bin
Heltec_E213_repeater|repeater-v1.0.2|1321136|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/Heltec_E213_repeater-nl-v1.0.2-bff9ec9.bin|Heltec_E213_repeater-nl-v1.0.2-bff9ec9.bin
Heltec_E213_repeater_bridge_espnow|bridge-espnow-v1.0.1|1331504|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/Heltec_E213_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|Heltec_E213_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
Heltec_E213_repeater_bridge_tcp|bridge-tcp-v1.0.7|1326240|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/Heltec_E213_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|Heltec_E213_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
Heltec_E213_room_server|room-server-v1.0.2|1309440|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/Heltec_E213_room_server-nl-v1.0.2-bff9ec9.bin|Heltec_E213_room_server-nl-v1.0.2-bff9ec9.bin
Heltec_E290_repeater|repeater-v1.0.2|1319072|https://github.com/MichTronics/MeshCoreNG/releases/download/repeater-v1.0.2/Heltec_E290_repeater-nl-v1.0.2-bff9ec9.bin|Heltec_E290_repeater-nl-v1.0.2-bff9ec9.bin
Heltec_E290_repeater_bridge_espnow|bridge-espnow-v1.0.1|1329456|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/Heltec_E290_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin|Heltec_E290_repeater_bridge_espnow-nl-v1.0.1-bff9ec9.bin
Heltec_E290_repeater_bridge_tcp|bridge-tcp-v1.0.7|1324112|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/Heltec_E290_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|Heltec_E290_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
Heltec_E290_room_server|room-server-v1.0.2|1307328|https://github.com/MichTronics/MeshCoreNG/releases/download/room-server-v1.0.2/Heltec_E290_room_server-nl-v1.0.2-bff9ec9.bin|Heltec_E290_room_server-nl-v1.0.2-bff9ec9.bin
Heltec_T190_repeater_bridge_espnow_|bridge-espnow-v1.0.1|1309296|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-espnow-v1.0.1/Heltec_T190_repeater_bridge_espnow_-nl-v1.0.1-bff9ec9.bin|Heltec_T190_repeater_bridge_espnow_-nl-v1.0.1-bff9ec9.bin
Heltec_T190_repeater_bridge_tcp|bridge-tcp-v1.0.7|1304016|https://github.com/MichTronics/MeshCoreNG/releases/download/bridge-tcp-v1.0.7/Heltec_T190_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin|Heltec_T190_repeater_bridge_tcp-nl-v1.0.7-bff9ec9.bin
heltec_tracker_v2_companion_radio_ble|companion-v1.0.2|1293616|https://github.com/MichTronics/MeshCoreNG/releases/download/companion-v1.0.2/heltec_tracker_v2_companion_radio_ble-nl-v1.0.2-bff9ec9.bin|heltec_tracker_v2_companion_radio_ble-nl-v1.0.2-bff9ec9.bin
